ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
MEX,Mexico,total,Drinking water,2016,0.38085,469717.25263,Surface water
MEX,Mexico,total,Sanitation,2016,1.78781,2204961.40605,Unimproved
MEX,Mexico,total,Drinking water,2016,1.16628,1438417.27758,Unimproved
MHL,Marshall Islands,total,Sanitation,2016,83.29721,48081.64893,At least basic
MHL,Marshall Islands,total,Drinking water,2016,88.4137,51035.03791,At least basic
MHL,Marshall Islands,total,Sanitation,2016,5.52798,3190.91419,Limited service
MHL,Marshall Islands,total,Drinking water,2016,11.22813,6481.21141,Limited service
MHL,Marshall Islands,total,Sanitation,2016,10.15355,5860.93624,Open defecation
MHL,Marshall Islands,total,Drinking water,2016,0,0,Surface water
MHL,Marshall Islands,total,Sanitation,2016,1.02126,589.49946,Unimproved
MHL,Marshall Islands,total,Drinking water,2016,0.35817,206.74878,Unimproved
MKD,North Macedonia,total,Sanitation,2016,83.55748,1738618.92771,Basic service
MKD,North Macedonia,total,Drinking water,2016,18.38622,382570.55538,Basic service
MKD,North Macedonia,total,Sanitation,2016,1.95984,40779.31212,Limited service
MKD,North Macedonia,total,Drinking water,2016,1.83675,38218.20058,Limited service
MKD,North Macedonia,total,Sanitation,2016,0.20059,4173.7206,Open defecation
MKD,North Macedonia,total,Sanitation,2016,12.40836,258186.39166,Safely managed service
MKD,North Macedonia,total,Drinking water,2016,79.13906,1646682.96112,Safely managed service
MKD,North Macedonia,total,Drinking water,2016,0.04902,1020.0488,Surface water
MKD,North Macedonia,total,Sanitation,2016,1.87374,38987.74794,Unimproved
MKD,North Macedonia,total,Drinking water,2016,0.58894,12254.33426,Unimproved
MNE,Montenegro,total,Sanitation,2016,54.0651,339134.67743,Basic service
MNE,Montenegro,total,Drinking water,2016,12.83659,80520.2042,Basic service
MNE,Montenegro,total,Sanitation,2016,0.94359,5918.87813,Limited service
MNE,Montenegro,total,Drinking water,2016,1.52494,9565.50951,Limited service
MNE,Montenegro,total,Sanitation,2016,0.10001,627.33792,Open defecation
MNE,Montenegro,total,Sanitation,2016,42.03398,263666.96518,Safely managed service
MNE,Montenegro,total,Drinking water,2016,84.80079,531930.79016,Safely managed service
MNE,Montenegro,total,Drinking water,2016,0.03307,207.44845,Surface water
MNE,Montenegro,total,Sanitation,2016,2.85732,17923.14135,Unimproved
MNE,Montenegro,total,Drinking water,2016,0.8046,5047.04769,Unimproved
MYS,Malaysia,total,Sanitation,2016,25.27998,7757073.91935,Basic service
MYS,Malaysia,total,Drinking water,2016,3.43642,1054454.36914,Basic service
MYS,Malaysia,total,Sanitation,2016,0,0,Limited service
MYS,Malaysia,total,Drinking water,2016,0.3612,110832.52822,Limited service
MYS,Malaysia,total,Sanitation,2016,0.28302,86842.17123,Open defecation
MYS,Malaysia,total,Sanitation,2016,74.28487,22794053.90952,Safely managed service
MYS,Malaysia,total,Drinking water,2016,93.62527,28728588.76838,Safely managed service
MYS,Malaysia,total,Sanitation,2016,0.15213,46681.99989,Unimproved
MYS,Malaysia,total,Drinking water,2016,2.57711,790776.33518,Unimproved
NAM,Namibia,total,Sanitation,2016,34.15867,805476.52336,At least basic
NAM,Namibia,total,Drinking water,2016,82.90022,1954823.54933,At least basic
NAM,Namibia,total,Sanitation,2016,12.13985,286262.99958,Limited service
